   1 child parent 513
   1 parent child 0
   1 parent child 1
   1 parent child 10
   1 parent child 100
   1 parent child 101
   1 parent child 102
   1 parent child 103
   1 parent child 104
   1 parent child 105
   1 parent child 106
   1 parent child 107
   1 parent child 108
   1 parent child 109
   1 parent child 11
   1 parent child 110
   1 parent child 111
   1 parent child 112
   1 parent child 113
   1 parent child 114
   1 parent child 115
   1 parent child 116
   1 parent child 117
   1 parent child 118
   1 parent child 119
   1 parent child 12
   1 parent child 120
   1 parent child 121
   1 parent child 122
   1 parent child 123
   1 parent child 124
   1 parent child 125
   1 parent child 126
   1 parent child 127
   1 parent child 128
   1 parent child 129
   1 parent child 13
   1 parent child 130
   1 parent child 131
   1 parent child 132
   1 parent child 133
   1 parent child 134
   1 parent child 135
   1 parent child 136
   1 parent child 137
   1 parent child 138
   1 parent child 139
   1 parent child 14
   1 parent child 140
   1 parent child 141
   1 parent child 142
   1 parent child 143
   1 parent child 144
   1 parent child 145
   1 parent child 146
   1 parent child 147
   1 parent child 148
   1 parent child 149
   1 parent child 15
   1 parent child 150
   1 parent child 151
   1 parent child 152
   1 parent child 153
   1 parent child 154
   1 parent child 155
   1 parent child 156
   1 parent child 157
   1 parent child 158
   1 parent child 159
   1 parent child 16
   1 parent child 160
   1 parent child 161
   1 parent child 162
   1 parent child 163
   1 parent child 164
   1 parent child 165
   1 parent child 166
   1 parent child 167
   1 parent child 168
   1 parent child 169
   1 parent child 17
   1 parent child 170
   1 parent child 171
   1 parent child 172
   1 parent child 173
   1 parent child 174
   1 parent child 175
   1 parent child 176
   1 parent child 177
   1 parent child 178
   1 parent child 179
   1 parent child 18
   1 parent child 180
   1 parent child 181
   1 parent child 182
   1 parent child 183
   1 parent child 184
   1 parent child 185
   1 parent child 186
   1 parent child 187
   1 parent child 188
   1 parent child 189
   1 parent child 19
   1 parent child 190
   1 parent child 191
   1 parent child 192
   1 parent child 193
   1 parent child 194
   1 parent child 195
   1 parent child 196
   1 parent child 197
   1 parent child 198
   1 parent child 199
   1 parent child 2
   1 parent child 20
   1 parent child 200
   1 parent child 201
   1 parent child 202
   1 parent child 203
   1 parent child 204
   1 parent child 205
   1 parent child 206
   1 parent child 207
   1 parent child 208
   1 parent child 209
   1 parent child 21
   1 parent child 210
   1 parent child 211
   1 parent child 212
   1 parent child 213
   1 parent child 214
   1 parent child 215
   1 parent child 216
   1 parent child 217
   1 parent child 218
   1 parent child 219
   1 parent child 22
   1 parent child 220
   1 parent child 221
   1 parent child 222
   1 parent child 223
   1 parent child 224
   1 parent child 225
   1 parent child 226
   1 parent child 227
   1 parent child 228
   1 parent child 229
   1 parent child 23
   1 parent child 230
   1 parent child 231
   1 parent child 232
   1 parent child 233
   1 parent child 234
   1 parent child 235
   1 parent child 236
   1 parent child 237
   1 parent child 238
   1 parent child 239
   1 parent child 24
   1 parent child 240
   1 parent child 241
   1 parent child 242
   1 parent child 243
   1 parent child 244
   1 parent child 245
   1 parent child 246
   1 parent child 247
